,Unnamed: 0,accNowDelinq,accOpenPast24Mths,acceptD,addrState,addrZip,allUtil,annualInc,annualIncJoint,applicationType,avgCurBal,bcOpenToBuy,bcUtil,chargeoffWithin12Mths,collections12MthsExMed,creditPullD,delinq2Yrs,delinqAmnt,desc,disbursementMethod,dti,dtiJoint,earliestCrLine,empLength,empTitle,expD,expDefaultRate,ficoRangeHigh,ficoRangeLow,fundedAmount,grade,homeOwnership,housingPayment,iLUtil,id,ilsExpD,initialListStatus,inqFi,inqLast12m,inqLast6Mths,installment,intRate,investorCount,isIncV,isIncVJoint,listD,loanAmount,maxBalBc,memberId,moSinOldIlAcct,moSinOldRevTlOp,moSinRcntRevTlOp,moSinRcntTl,mortAcc,mtgPayment,mthsSinceLastDelinq,mthsSinceLastMajorDerog,mthsSinceLastRecord,mthsSinceRcntIl,mthsSinceRecentBc,mthsSinceRecentBcDlq,mthsSinceRecentInq,mthsSinceRecentRevolDelinq,numAcctsEver120Ppd,numActvBcTl,numActvRevTl,numBcSats,numBcTl,numIlTl,numOpRevTl,numRevAccts,numRevTlBalGt0,numSats,numTl120dpd2m,numTl30dpd,numTl90gDpd24m,numTlOpPast12m,openAcc,openAcc6m,openActIl,openIl12m,openIl24m,openRv12m,openRv24m,pctTlNvrDlq,percentBcGt75,pubRec,pubRecBankruptcies,purpose,reviewStatus,reviewStatusD,revolBal,revolBalJoint,revolUtil,secAppChargeoffWithin12Mths,secAppCollections12MthsExMed,secAppEarliestCrLine,secAppFicoRangeHigh,secAppFicoRangeLow,secAppInqLast6Mths,secAppMortAcc,secAppMthsSinceLastMajorDerog,secAppNumRevAccts,secAppOpenAcc,secAppOpenActIl,secAppRevolUtil,serviceFeeRate,subGrade,taxLiens,term,totCollAmt,totCurBal,totHiCredLim,totalAcc,totalBalExMort,totalBalIl,totalBcLimit,totalCuTl,totalIlHighCreditLimit,totalRevHiLim
9,9,0,16,2018-04-25T14:40:10.000-07:00,MD,211xx,72.6,105000.0,250000.0,JOINT,24355,27520.0,2.4,0,0,2018-04-25T14:35:12.000-07:00,0,0.0,,CASH,36.18,25.91,1994-05-24T17:00:00.000-07:00,120.0,Branch Manager,2018-05-31T10:00:00.000-07:00,1.86,729,725,4925.0,A,MORTGAGE,0.0,83.0,132269767,2018-05-01T10:00:00.000-07:00,F,2,5,2,465.5,7.34,,SOURCE_VERIFIED,SOURCE_VERIFIED,2018-05-01T10:00:00.000-07:00,15000.0,604.0,148536977,142.0,173,3,2,2,1966.67,,,,2.0,6.0,,3.0,,0,2,6,5,14,22,10,26,6,24,0.0,0,0,7,24,4,11,5,8,2,7,100,0.0,0,0,credit_card,APPROVED,2018-05-01T08:22:46.000-07:00,32250.0,94601.0,49.2,0.0,0.0,2002-08-24T17:00:00.000-07:00,679.0,675.0,5.0,3.0,68.0,51.0,24.0,7.0,39.3,0.83,A4,0,36,0,511461,578961,52,154246,121996.0,28200,6,146938,65600
10,10,0,2,2018-04-24T13:42:18.000-07:00,NC,273xx,74.7,35000.0,110000.0,JOINT,4721,2247.0,75.8,0,0,2018-04-24T11:47:23.000-07:00,0,0.0,,CASH,58.78,21.88,1998-12-23T16:00:00.000-08:00,60.0,Teacher,2018-05-31T10:00:00.000-07:00,5.71,739,735,7250.0,C,RENT,0.0,77.5,132191781,2018-05-01T10:00:00.000-07:00,F,1,0,0,541.3,12.61,,VERIFIED,SOURCE_VERIFIED,2018-05-01T10:00:00.000-07:00,24000.0,6475.0,148362245,216.0,232,34,9,0,0.0,38.0,,,9.0,34.0,38.0,16.0,38.0,0,2,2,2,3,21,3,4,2,16,0.0,0,0,1,16,0,13,1,2,0,0,92,50.0,0,0,debt_consolidation,APPROVED,2018-05-01T08:59:42.000-07:00,7053.0,22811.0,55.1,0.0,0.0,1998-12-23T16:00:00.000-08:00,699.0,695.0,0.0,0.0,,8.0,9.0,3.0,58.7,0.78,C1,0,60,0,75533,101130,25,75533,68480.0,9300,0,88330,12800
11,11,0,5,2018-04-23T17:48:21.000-07:00,OH,432xx,17.8,96000.0,,INDIVIDUAL,13703,15544.0,22.7,0,0,2018-04-23T02:11:43.000-07:00,0,0.0,,CASH,2.03,,2014-02-22T16:00:00.000-08:00,12.0,Truck driver,2018-05-31T10:00:00.000-07:00,1.86,699,695,11325.0,A,RENT,600.0,,132099851,2018-05-01T10:00:00.000-07:00,F,1,0,0,1096.13,7.96,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,35000.0,3251.0,148239740,,50,17,17,2,1160.8,,,,,20.0,,22.0,,0,3,4,4,5,0,8,9,4,9,0.0,0,0,0,9,0,0,0,0,0,5,100,25.0,0,0,major_purchase,APPROVED,2018-05-01T07:04:16.000-07:00,5556.0,,17.8,,,,,,,,,,,,,0.83,A5,0,36,1085,123323,155899,11,5556,0.0,20100,0,0,31200
12,12,0,2,2018-04-24T08:42:18.000-07:00,NV,891xx,47.3,85000.0,,INDIVIDUAL,18420,63201.0,44.6,0,0,2018-04-24T08:39:06.000-07:00,0,0.0,,CASH,32.41,,2000-08-23T17:00:00.000-07:00,,,2018-05-31T10:00:00.000-07:00,5.71,744,740,10525.0,C,MORTGAGE,1468.0,59.8,132188144,2018-05-01T10:00:00.000-07:00,F,0,0,0,824.57,16.01,,VERIFIED,,2018-05-01T10:00:00.000-07:00,33900.0,14686.0,148326538,122.0,212,12,12,3,1377.71,,,,25.0,12.0,,23.0,,0,8,9,10,14,5,13,17,9,16,0.0,0,0,1,16,0,2,0,0,1,2,100,0.0,0,0,debt_consolidation,APPROVED,2018-05-01T09:18:17.000-07:00,51138.0,,41.5,,,,,,,,,,,,,0.78,C5,0,60,0,294720,401943,26,84935,33797.0,114100,0,56543,123100
13,13,0,6,2018-04-30T18:35:26.000-07:00,CA,921xx,51.4,140000.0,140000.0,JOINT,15700,27135.0,58.9,0,0,2018-04-30T18:23:11.000-07:00,0,0.0,,CASH,15.16,19.18,2008-04-30T17:00:00.000-07:00,120.0,District Manager,2018-05-31T10:00:00.000-07:00,15.63,674,670,23575.0,E,MORTGAGE,1246.0,51.4,132536868,2018-05-01T10:00:00.000-07:00,F,0,4,1,729.56,26.77,,NOT_VERIFIED,NOT_VERIFIED,2018-05-01T10:00:00.000-07:00,24000.0,9174.0,148913830,120.0,118,6,3,4,1262.33,,,,3.0,6.0,,2.0,,0,9,12,12,14,6,17,22,12,22,0.0,0,0,5,22,2,3,2,2,2,3,100,33.3,0,0,credit_card,APPROVED,2018-05-01T08:40:35.000-07:00,44086.0,68209.0,51.4,0.0,0.0,2009-05-31T17:00:00.000-07:00,679.0,675.0,0.0,0.0,,14.0,12.0,0.0,53.2,1.26,E5,0,60,0,329701,392172,33,63594,19508.0,66000,4,37972,85700
14,14,0,4,2018-04-30T08:18:04.000-07:00,CA,913xx,70.2,69000.0,114000.0,JOINT,28485,7140.0,71.6,0,0,2018-04-30T08:01:26.000-07:00,0,0.0,,CASH,25.53,18.56,1981-02-27T16:00:00.000-08:00,36.0,Credentialing Supervisor,2018-05-31T10:00:00.000-07:00,11.12,704,700,7300.0,D,MORTGAGE,1854.0,77.8,132513212,2018-05-01T10:00:00.000-07:00,F,4,5,0,287.1,17.47,,NOT_VERIFIED,NOT_VERIFIED,2018-05-01T10:00:00.000-07:00,8000.0,13431.0,148877971,78.0,118,26,3,1,1859.15,,,,3.0,26.0,,3.0,,0,4,5,5,5,6,7,7,5,13,0.0,0,0,2,13,1,4,2,3,0,0,100,40.0,0,0,debt_consolidation,APPROVED,2018-05-01T07:35:37.000-07:00,18084.0,22395.0,58.3,0.0,0.0,2008-06-29T17:00:00.000-07:00,654.0,650.0,0.0,1.0,34.0,5.0,8.0,3.0,89.4,1.36,D1,0,36,0,341816,372593,15,55837,37753.0,25100,1,48553,31000
15,15,0,5,2018-04-29T20:48:55.000-07:00,CA,925xx,32.2,43000.0,,INDIVIDUAL,656,1353.0,49.9,0,0,2018-04-29T20:43:27.000-07:00,5,0.0,,CASH,5.19,,2001-12-29T16:00:00.000-08:00,120.0,pharmacy Technicain,2018-05-31T10:00:00.000-07:00,6.8,689,685,1075.0,C,RENT,500.0,74.4,132498258,2018-05-01T10:00:00.000-07:00,F,0,1,0,86.72,15.04,,NOT_VERIFIED,,2018-05-01T10:00:00.000-07:00,2500.0,1109.0,148861882,196.0,182,6,6,0,0.0,13.0,16.0,,84.0,18.0,16.0,10.0,16.0,5,2,5,3,4,6,7,10,5,9,0.0,0,2,4,9,2,2,0,0,4,5,50,33.3,0,0,medical,APPROVED,2018-05-01T08:02:23.000-07:00,2163.0,,16.3,,,,,,,,,,,,,1.13,C4,0,36,1457,5901,18325,16,5901,3738.0,2700,0,5025,13300
16,16,0,1,2018-04-30T11:45:19.000-07:00,OH,442xx,68.2,20000.0,,INDIVIDUAL,1409,1698.0,71.2,0,0,2018-04-30T11:41:26.000-07:00,0,0.0,,CASH,9.12,,2010-06-29T17:00:00.000-07:00,0.0,Server,2018-05-31T10:00:00.000-07:00,6.8,699,695,1500.0,C,OWN,,,132527288,2018-05-01T10:00:00.000-07:00,F,0,2,1,101.93,13.58,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,3000.0,3311.0,148889209,,94,6,6,0,0.0,,,,,58.0,,6.0,,0,2,3,2,2,0,3,3,3,3,0.0,0,0,1,3,1,0,0,0,1,1,100,50.0,0,0,moving,APPROVED,2018-05-01T08:39:05.000-07:00,4228.0,,68.2,,,,,,,,,,,,,1.13,C2,0,36,0,4228,6200,3,4228,0.0,5900,0,0,6200
17,17,0,4,2018-04-30T14:42:16.000-07:00,NE,688xx,48.3,33000.0,,INDIVIDUAL,574,3978.0,49.6,0,0,2018-04-29T18:48:06.000-07:00,1,0.0,,CASH,9.89,,2009-08-29T17:00:00.000-07:00,120.0,Dept manager,2018-05-31T10:00:00.000-07:00,6.8,664,660,3200.0,C,RENT,800.0,,132489019,2018-05-01T10:00:00.000-07:00,F,0,0,0,171.06,14.07,,NOT_VERIFIED,,2018-05-01T10:00:00.000-07:00,5000.0,1896.0,148852634,104.0,34,13,13,0,0.0,11.0,77.0,,56.0,15.0,,15.0,,1,4,7,5,6,5,8,9,7,8,0.0,0,0,0,8,0,0,0,0,0,4,85,60.0,0,0,credit_card,APPROVED,2018-05-01T08:41:26.000-07:00,4588.0,,48.3,,,,,,,,,,,,,1.13,C3,0,36,0,4588,9500,14,4588,0.0,7900,0,0,9500
18,18,0,3,2018-04-30T21:47:55.000-07:00,CA,914xx,37.9,15000.0,,INDIVIDUAL,1241,10604.0,40.8,0,0,2018-04-30T21:34:06.000-07:00,0,0.0,,CASH,28.0,,2013-09-30T17:00:00.000-07:00,120.0,Merchandise ,2018-05-31T10:00:00.000-07:00,6.8,679,675,1350.0,C,MORTGAGE,600.0,53.2,132557460,2018-05-01T10:00:00.000-07:00,F,2,4,1,117.28,12.61,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,3500.0,3012.0,148911467,9.0,55,8,8,0,0.0,,,103.0,9.0,12.0,,5.0,,0,3,4,3,3,1,6,6,4,7,0.0,0,0,3,7,0,1,1,1,2,2,100,0.0,1,1,debt_consolidation,APPROVED,2018-05-01T09:46:18.000-07:00,7358.0,,36.1,,,,,,,,,,,,,1.13,C1,0,36,287,8688,22900,7,8688,1330.0,17900,0,2500,20400
