,Unnamed: 0,accNowDelinq,accOpenPast24Mths,acceptD,addrState,addrZip,allUtil,annualInc,annualIncJoint,applicationType,avgCurBal,bcOpenToBuy,bcUtil,chargeoffWithin12Mths,collections12MthsExMed,creditPullD,delinq2Yrs,delinqAmnt,desc,disbursementMethod,dti,dtiJoint,earliestCrLine,empLength,empTitle,expD,expDefaultRate,ficoRangeHigh,ficoRangeLow,fundedAmount,grade,homeOwnership,housingPayment,iLUtil,id,ilsExpD,initialListStatus,inqFi,inqLast12m,inqLast6Mths,installment,intRate,investorCount,isIncV,isIncVJoint,listD,loanAmount,maxBalBc,memberId,moSinOldIlAcct,moSinOldRevTlOp,moSinRcntRevTlOp,moSinRcntTl,mortAcc,mtgPayment,mthsSinceLastDelinq,mthsSinceLastMajorDerog,mthsSinceLastRecord,mthsSinceRcntIl,mthsSinceRecentBc,mthsSinceRecentBcDlq,mthsSinceRecentInq,mthsSinceRecentRevolDelinq,numAcctsEver120Ppd,numActvBcTl,numActvRevTl,numBcSats,numBcTl,numIlTl,numOpRevTl,numRevAccts,numRevTlBalGt0,numSats,numTl120dpd2m,numTl30dpd,numTl90gDpd24m,numTlOpPast12m,openAcc,openAcc6m,openActIl,openIl12m,openIl24m,openRv12m,openRv24m,pctTlNvrDlq,percentBcGt75,pubRec,pubRecBankruptcies,purpose,reviewStatus,reviewStatusD,revolBal,revolBalJoint,revolUtil,secAppChargeoffWithin12Mths,secAppCollections12MthsExMed,secAppEarliestCrLine,secAppFicoRangeHigh,secAppFicoRangeLow,secAppInqLast6Mths,secAppMortAcc,secAppMthsSinceLastMajorDerog,secAppNumRevAccts,secAppOpenAcc,secAppOpenActIl,secAppRevolUtil,serviceFeeRate,subGrade,taxLiens,term,totCollAmt,totCurBal,totHiCredLim,totalAcc,totalBalExMort,totalBalIl,totalBcLimit,totalCuTl,totalIlHighCreditLimit,totalRevHiLim
53,53,0,3,2018-05-01T08:04:35.000-07:00,RI,029xx,96.5,68000.0,,INDIVIDUAL,3533,419.0,96.6,0,0,2018-05-01T07:54:58.000-07:00,0,0.0,,DIRECT_PAY,9.54,,2001-09-30T17:00:00.000-07:00,108.0,Senior Sales Rep,2018-05-31T10:00:00.000-07:00,14.72,669,665,1900.0,E,OWN,,,132571518,2018-05-01T10:00:00.000-07:00,F,0,1,1,614.97,24.84,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,15500.0,5072.0,148925645,,199,6,6,1,1884.17,54.0,54.0,,,6.0,,1.0,54.0,1,5,6,5,5,0,6,7,6,7,0.0,0,0,1,7,1,0,0,0,1,3,87,80.0,0,0,other,APPROVED,2018-05-01T08:27:04.000-07:00,12740.0,,96.5,,,,,,,,,,,,,1.58,E3,0,36,0,24733,176200,8,12740,0.0,12500,0,0,13200
54,54,0,10,2018-05-01T08:59:05.000-07:00,TX,750xx,70.7,89000.0,,INDIVIDUAL,32961,21510.0,49.6,0,0,2018-05-01T07:33:58.000-07:00,0,0.0,,CASH,35.99,,1998-12-31T16:00:00.000-08:00,96.0,Executive Pastor,2018-05-31T10:00:00.000-07:00,6.8,714,710,7225.0,C,MORTGAGE,1800.0,83.7,132575270,2018-05-01T10:00:00.000-07:00,F,7,0,0,713.46,13.58,,NOT_VERIFIED,,2018-05-01T10:00:00.000-07:00,21000.0,10536.0,148928384,178.0,232,20,13,1,1852.68,44.0,,,13.0,21.0,44.0,13.0,44.0,0,3,3,6,8,17,7,12,3,13,0.0,0,0,0,13,0,5,0,5,0,4,93,0.0,0,0,debt_consolidation,APPROVED,2018-05-01T09:02:35.000-07:00,21190.0,,45.9,,,,,,,,,,,,,1.13,C2,0,36,511,428497,480866,30,146111,124921.0,42700,0,149771,46200
55,55,0,6,2018-04-30T13:28:02.000-07:00,MA,021xx,94.3,38400.0,,INDIVIDUAL,3568,3574.0,27.1,0,0,2018-04-20T06:12:45.000-07:00,1,0.0,,CASH,2.84,,2007-09-19T17:00:00.000-07:00,,,2018-05-31T10:00:00.000-07:00,11.12,709,705,2725.0,D,RENT,500.0,113.0,131996206,2018-05-01T10:00:00.000-07:00,F,0,4,0,672.53,20.39,,VERIFIED,,2018-05-01T10:00:00.000-07:00,18000.0,1326.0,148071564,127.0,36,28,7,0,0.0,13.0,53.0,,7.0,28.0,13.0,1.0,13.0,2,1,2,1,1,22,3,3,2,19,0.0,0,0,2,19,0,16,2,6,0,0,88,0.0,0,0,other,APPROVED,2018-05-01T09:38:00.000-07:00,2819.0,,19.6,,,,,,,,,,,,,1.36,D4,0,36,0,67785,71900,25,67785,64966.0,4900,0,57500,14400
56,56,0,14,2018-04-30T07:12:21.000-07:00,AL,352xx,66.1,500000.0,,INDIVIDUAL,15520,64451.0,67.0,0,0,2018-04-30T07:11:19.000-07:00,0,0.0,,CASH,15.97,,1985-07-29T17:00:00.000-07:00,120.0,Broker,2018-05-31T10:00:00.000-07:00,3.8,709,705,4125.0,B,MORTGAGE,1658.0,70.3,132506281,2018-05-01T10:00:00.000-07:00,F,5,6,1,644.6,9.92,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,20000.0,16435.0,148870055,144.0,393,4,4,2,1650.0,,,,6.0,4.0,,5.0,,0,23,28,25,28,24,34,41,28,42,0.0,0,0,8,42,2,7,3,5,5,9,100,28.0,0,0,home_improvement,APPROVED,2018-05-01T09:09:59.000-07:00,343454.0,,64.1,,,,,,,,,,,,,0.96,B2,0,36,0,636314,829378,68,415594,72140.0,178000,12,119735,465100
57,57,0,1,2018-04-25T17:34:38.000-07:00,IL,600xx,41.2,167500.0,197500.0,JOINT,41023,12848.0,42.6,0,0,2018-04-23T11:53:34.000-07:00,0,0.0,,CASH,8.04,7.18,1992-12-22T16:00:00.000-08:00,120.0,Senior Superintendant,2018-05-31T10:00:00.000-07:00,1.86,734,730,12225.0,A,MORTGAGE,2153.0,40.1,132125792,2018-05-01T10:00:00.000-07:00,F,0,0,0,903.31,5.31,,SOURCE_VERIFIED,NOT_VERIFIED,2018-05-01T10:00:00.000-07:00,30000.0,4828.0,148285928,153.0,304,68,4,2,2058.94,,,,4.0,68.0,,,,1,3,3,3,4,6,3,4,3,6,0.0,0,0,1,6,1,2,1,1,0,0,91,0.0,0,0,home_improvement,APPROVED,2018-05-01T09:13:54.000-07:00,9552.0,17402.0,42.6,0.0,0.0,1992-12-22T16:00:00.000-08:00,749.0,745.0,0.0,2.0,,8.0,5.0,0.0,27.0,0.83,A1,0,36,0,246139,316620,12,21996,12444.0,22400,1,31000,22400
58,58,0,4,2018-04-30T08:43:10.000-07:00,GA,308xx,74.5,33000.0,,INDIVIDUAL,1877,225.0,43.8,0,0,2018-04-24T12:21:39.000-07:00,0,0.0,,CASH,9.78,,2006-04-23T17:00:00.000-07:00,120.0,AUDITOR,2018-05-31T10:00:00.000-07:00,6.8,664,660,3675.0,C,RENT,300.0,82.9,132190910,2018-05-01T10:00:00.000-07:00,F,0,2,1,832.44,15.04,,VERIFIED,,2018-05-01T10:00:00.000-07:00,24000.0,175.0,148363392,21.0,144,20,9,0,0.0,38.0,38.0,,9.0,20.0,41.0,4.0,41.0,3,1,2,1,4,3,2,6,2,3,0.0,0,0,1,3,0,1,1,3,0,1,60,0.0,0,0,debt_consolidation,APPROVED,2018-05-01T07:37:51.000-07:00,441.0,,33.9,,,,,,,,,,,,,1.13,C4,0,36,0,5630,7558,10,5630,5189.0,400,1,6258,1300
59,59,0,2,2018-04-30T16:43:26.000-07:00,FL,331xx,68.0,140000.0,,INDIVIDUAL,5572,6393.0,81.0,0,0,2018-04-30T16:40:49.000-07:00,0,0.0,,CASH,29.07,,1987-06-29T17:00:00.000-07:00,48.0,Showroom Manager,2018-05-31T10:00:00.000-07:00,3.8,709,705,4825.0,B,RENT,1800.0,33.0,132375368,2018-05-01T10:00:00.000-07:00,F,0,0,0,902.43,9.92,,VERIFIED,,2018-05-01T10:00:00.000-07:00,28000.0,9636.0,148772080,150.0,346,3,3,0,0.0,62.0,46.0,,18.0,3.0,62.0,15.0,,0,8,12,10,12,6,12,18,7,16,,0,0,1,17,1,3,0,1,1,1,88,75.0,0,0,debt_consolidation,APPROVED,2018-05-01T08:26:02.000-07:00,41616.0,,68.0,,,,,,,,,,,,,0.96,B2,0,36,0,89164,156996,25,89164,22752.0,51145,0,69762,61395
60,60,0,0,2018-05-01T06:29:45.000-07:00,FL,324xx,52.3,96000.0,,INDIVIDUAL,6335,5588.0,82.8,0,0,2018-04-30T09:26:28.000-07:00,0,0.0,,CASH,23.03,,1998-01-29T16:00:00.000-08:00,120.0,Munitions Production Superintendent,2018-05-31T10:00:00.000-07:00,1.86,734,730,11775.0,A,RENT,1600.0,15.4,132511751,2018-05-01T10:00:00.000-07:00,F,0,0,0,1096.13,7.96,,SOURCE_VERIFIED,,2018-05-01T10:00:00.000-07:00,35000.0,19124.0,148875533,121.0,243,31,31,0,0.0,,,,31.0,31.0,,,,0,3,4,4,7,5,5,9,4,6,0.0,0,0,0,6,0,1,0,0,0,0,100,75.0,0,0,debt_consolidation,APPROVED,2018-05-01T07:17:45.000-07:00,33087.0,,81.3,,,,,,,,,,,,,0.83,A5,0,36,0,38012,72700,14,38012,4925.0,32500,0,32000,40700
61,61,0,9,2018-04-28T12:59:10.000-07:00,OH,430xx,84.6,85000.0,175000.0,JOINT,37798,3801.0,63.8,0,0,2018-04-28T12:38:35.000-07:00,0,0.0,,CASH,15.59,17.73,1993-05-27T17:00:00.000-07:00,120.0,Teacher/Coach,2018-05-31T10:00:00.000-07:00,11.12,679,675,10875.0,D,MORTGAGE,2300.0,90.8,132456158,2018-05-01T10:00:00.000-07:00,F,2,5,2,1290.41,19.42,,SOURCE_VERIFIED,SOURCE_VERIFIED,2018-05-01T10:00:00.000-07:00,35000.0,6699.0,148816630,299.0,86,2,2,2,2372.71,,,,11.0,2.0,,2.0,,0,1,5,2,2,21,6,9,5,16,0.0,0,0,6,16,5,9,1,4,3,3,100,0.0,0,0,debt_consolidation,APPROVED,2018-05-01T09:25:36.000-07:00,18606.0,36946.0,60.8,0.0,0.0,2000-10-27T17:00:00.000-07:00,629.0,625.0,2.0,3.0,,14.0,15.0,3.0,34.4,1.36,D3,0,36,0,566965,585692,32,190678,172072.0,10500,3,177092,30600
62,62,0,1,2018-04-30T12:54:01.000-07:00,TX,750xx,44.5,130000.0,215000.0,JOINT,24460,40279.0,24.0,0,0,2018-04-30T11:31:36.000-07:00,0,0.0,,CASH,26.11,18.09,2001-12-29T16:00:00.000-08:00,48.0,Pharmacist,2018-05-31T10:00:00.000-07:00,1.86,819,815,13500.0,A,MORTGAGE,2000.0,50.5,132521413,2018-05-01T10:00:00.000-07:00,F,0,0,0,1204.42,5.31,,NOT_VERIFIED,NOT_VERIFIED,2018-05-01T10:00:00.000-07:00,40000.0,8974.0,148885279,174.0,196,15,15,4,1999.5,,,,54.0,15.0,,,,0,3,3,3,4,16,4,6,3,15,0.0,0,0,0,15,0,10,0,0,0,1,100,0.0,0,0,home_improvement,APPROVED,2018-05-01T09:14:22.000-07:00,12721.0,22744.0,22.3,0.0,0.0,2001-09-29T17:00:00.000-07:00,754.0,750.0,0.0,4.0,,13.0,8.0,0.0,36.8,0.83,A1,0,36,0,366907,532023,26,118576,105855.0,53000,0,209493,57100
