,accNowDelinq,accOpenPast24Mths,acceptD,addrState,addrZip,allUtil,annualInc,annualIncJoint,applicationType,avgCurBal,bcOpenToBuy,bcUtil,chargeoffWithin12Mths,collections12MthsExMed,creditPullD,delinq2Yrs,delinqAmnt,desc,disbursementMethod,dti,dtiJoint,earliestCrLine,empLength,empTitle,expD,expDefaultRate,ficoRangeHigh,ficoRangeLow,fundedAmount,grade,homeOwnership,housingPayment,iLUtil,id,ilsExpD,initialListStatus,inqFi,inqLast12m,inqLast6Mths,installment,intRate,investorCount,isIncV,isIncVJoint,listD,loanAmount,maxBalBc,memberId,moSinOldIlAcct,moSinOldRevTlOp,moSinRcntRevTlOp,moSinRcntTl,mortAcc,mtgPayment,mthsSinceLastDelinq,mthsSinceLastMajorDerog,mthsSinceLastRecord,mthsSinceRcntIl,mthsSinceRecentBc,mthsSinceRecentBcDlq,mthsSinceRecentInq,mthsSinceRecentRevolDelinq,numAcctsEver120Ppd,numActvBcTl,numActvRevTl,numBcSats,numBcTl,numIlTl,numOpRevTl,numRevAccts,numRevTlBalGt0,numSats,numTl120dpd2m,numTl30dpd,numTl90gDpd24m,numTlOpPast12m,openAcc,openAcc6m,openActIl,openIl12m,openIl24m,openRv12m,openRv24m,pctTlNvrDlq,percentBcGt75,pubRec,pubRecBankruptcies,purpose,reviewStatus,reviewStatusD,revolBal,revolBalJoint,revolUtil,secAppChargeoffWithin12Mths,secAppCollections12MthsExMed,secAppEarliestCrLine,secAppFicoRangeHigh,secAppFicoRangeLow,secAppInqLast6Mths,secAppMortAcc,secAppMthsSinceLastMajorDerog,secAppNumRevAccts,secAppOpenAcc,secAppOpenActIl,secAppRevolUtil,serviceFeeRate,subGrade,taxLiens,term,totCollAmt,totCurBal,totHiCredLim,totalAcc,totalBalExMort,totalBalIl,totalBcLimit,totalCuTl,totalIlHighCreditLimit,totalRevHiLim
52,0,3,2018-04-25T15:12:09.000-07:00,WA,989xx,91.8,75000.0,,INDIVIDUAL,19765,649,97.5,0,0,2018-04-25T15:04:21.000-07:00,0,0.0,,CASH,21.39,,1992-10-24T17:00:00.000-07:00,120.0,Consumer Safety Inspector,2018-05-25T18:00:00.000-07:00,3.8,704,700,4750.0,B,MORTGAGE,672.0,82.3,132266938,2018-04-25T18:00:00.000-07:00,F,1,2,0,486.91,10.41,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,15000.0,15538.0,148552061,157.0,306,19,8,1,921.25,,,,8.0,43,,10.0,,0,3,5,3,14,8,5,19,5,8,0.0,0,0,2,8,0,2,2,2,0,1,100,100.0,0,0,debt_consolidation,APPROVED,2018-04-25T15:13:41.000-07:00,30881.0,,96.2,,,,,,,,,,,,,0.96,B3,0,36,0,158119,238631,28,43082,12201.0,25700,2,14831,32100
53,0,2,2018-04-24T10:42:56.000-07:00,OH,430xx,54.9,43000.0,,INDIVIDUAL,5437,5307,41.7,0,0,2018-04-24T10:38:39.000-07:00,0,0.0,,CASH,29.05,,1999-03-23T16:00:00.000-08:00,120.0,Dispatch,2018-05-25T18:00:00.000-07:00,3.8,669,665,3700.0,B,MORTGAGE,760.0,51.3,132181879,2018-04-25T18:00:00.000-07:00,F,0,0,0,448.01,9.43,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,14000.0,1617.0,148332359,130.0,152,15,15,3,719.89,42.0,42.0,,36.0,116,,,47.0,2,4,11,4,6,5,14,20,11,17,0.0,0,0,0,17,0,2,0,0,0,2,79,0.0,0,0,debt_consolidation,APPROVED,2018-04-25T14:18:59.000-07:00,18036.0,,58.4,,,,,,,,,,,,,0.96,B1,0,36,103,92429,133770,29,33057,15021.0,9100,0,29270,30900
54,0,5,2018-04-23T11:24:28.000-07:00,MA,020xx,57.8,55000.0,,INDIVIDUAL,3656,1207,89.5,0,0,2018-04-23T11:16:13.000-07:00,0,0.0,,CASH,17.89,,2012-12-22T16:00:00.000-08:00,84.0,School Bus driver and Bus instructor ,2018-05-25T18:00:00.000-07:00,6.8,684,680,1550.0,C,OWN,,47.5,132124572,2018-04-25T18:00:00.000-07:00,F,0,4,3,410.54,14.07,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,12000.0,5488.0,148262683,64.0,60,2,2,1,0.0,,,,3.0,16,,2.0,,0,2,4,2,4,4,5,8,4,8,0.0,0,0,3,8,3,3,1,1,1,3,100,100.0,0,0,credit_card,APPROVED,2018-04-25T17:35:56.000-07:00,12223.0,,82.6,,,,,,,,,,,,,1.13,C3,0,36,0,29244,50616,13,29244,17021.0,11500,4,35816,14800
55,0,5,2018-04-24T09:52:10.000-07:00,FL,342xx,1.1,29652.0,,INDIVIDUAL,32,19743,1.3,0,0,2018-04-23T05:06:00.000-07:00,1,0.0,,CASH,2.31,,2006-02-22T16:00:00.000-08:00,,,2018-05-25T18:00:00.000-07:00,6.8,684,680,1275.0,C,MORTGAGE,668.0,,132103918,2018-04-25T18:00:00.000-07:00,F,1,3,0,421.95,16.01,,VERIFIED,,2018-04-25T18:00:00.000-07:00,12000.0,200.0,148245813,,67,8,8,1,667.91,1.0,,86.0,,8,1.0,8.0,1.0,0,3,3,5,6,0,8,9,3,8,0.0,0,0,3,8,0,0,0,0,3,5,88,0.0,1,1,major_purchase,APPROVED,2018-04-25T14:31:24.000-07:00,257.0,,1.1,,,,,,,,,,,,,1.13,C5,0,36,0,257,23500,10,257,0.0,20000,0,0,23500
56,0,3,2018-04-25T14:55:38.000-07:00,PA,194xx,61.4,73000.0,,INDIVIDUAL,7690,8235,48.5,0,0,2018-04-25T14:01:03.000-07:00,0,0.0,,CASH,29.64,,2003-05-24T17:00:00.000-07:00,84.0,Registered Nurse,2018-05-25T18:00:00.000-07:00,1.86,729,725,4850.0,A,RENT,400.0,58.0,132266663,2018-04-25T18:00:00.000-07:00,F,4,1,1,512.05,7.96,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,16350.0,6256.0,148509757,128.0,179,14,14,0,0.0,,,,14.0,14,,4.0,,0,2,4,3,3,7,7,10,4,11,0.0,0,0,0,11,0,4,0,1,0,2,100,33.3,0,0,small_business,APPROVED,2018-04-25T14:59:51.000-07:00,23965.0,,70.5,,,,,,,,,,,,,0.83,A5,0,36,0,76903,125200,17,76903,52938.0,16000,6,91200,34000
57,0,3,2018-04-25T13:51:38.000-07:00,TX,767xx,44.7,63654.0,,INDIVIDUAL,20475,17485,32.8,0,0,2018-04-11T08:52:31.000-07:00,0,0.0,,CASH,29.6,,2005-12-10T16:00:00.000-08:00,120.0,Jail Sergeant,2018-05-25T18:00:00.000-07:00,1.86,734,730,7050.0,A,MORTGAGE,830.0,67.3,131431619,2018-04-25T18:00:00.000-07:00,F,0,2,0,626.36,7.96,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,20000.0,4486.0,147129987,68.0,148,27,2,2,829.09,32.0,,,2.0,27,,2.0,32.0,0,2,3,2,2,5,4,6,3,8,0.0,0,0,1,8,1,3,1,3,0,0,92,0.0,0,0,credit_card,APPROVED,2018-04-25T14:08:54.000-07:00,9647.0,,31.2,,,,,,,,,,,,,0.83,A5,0,36,0,163799,202912,13,75099,65452.0,26000,3,71494,30900
58,0,7,2018-04-21T17:02:35.000-07:00,TX,799xx,38.0,80000.0,,INDIVIDUAL,3173,82650,7.1,0,0,2018-04-21T16:57:26.000-07:00,0,0.0,,CASH,28.49,,2003-03-20T16:00:00.000-08:00,36.0,Teacher,2018-05-25T18:00:00.000-07:00,3.8,814,810,8000.0,B,OWN,,77.9,132049877,2018-04-25T18:00:00.000-07:00,F,1,1,1,691.21,9.43,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,21600.0,2472.0,148200517,144.0,181,11,4,0,0.0,,,,4.0,11,,5.0,,0,10,10,16,17,6,19,24,10,22,0.0,0,0,2,22,1,3,1,2,1,5,100,0.0,0,0,other,APPROVED,2018-04-25T14:51:51.000-07:00,6350.0,,6.5,,,,,,,,,,,,,0.96,B1,0,36,0,66632,175167,30,66632,60282.0,89000,3,77367,97800
59,0,5,2018-04-23T15:07:52.000-07:00,CA,959xx,43.7,65000.0,,INDIVIDUAL,1752,1266,59.2,0,0,2018-04-23T14:58:50.000-07:00,0,0.0,,CASH,28.58,,2005-02-22T16:00:00.000-08:00,36.0,Para educator,2018-05-25T18:00:00.000-07:00,3.8,719,715,4725.0,B,RENT,200.0,51.3,132139531,2018-04-25T18:00:00.000-07:00,F,2,2,0,630.9,11.98,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,19000.0,1207.0,148288794,158.0,129,5,5,1,0.0,39.0,,,9.0,124,39.0,10.0,39.0,0,2,8,2,3,9,10,15,8,15,0.0,0,0,2,15,1,5,1,3,1,2,75,0.0,0,0,credit_card,APPROVED,2018-04-25T17:44:35.000-07:00,7413.0,,32.5,,,,,,,,,,,,,0.96,B5,0,36,0,24521,56132,25,24521,17108.0,3100,1,33332,22800
60,0,2,2018-04-24T12:53:48.000-07:00,IL,622xx,90.0,150000.0,,INDIVIDUAL,43931,22250,77.0,0,0,2018-04-24T12:51:30.000-07:00,0,0.0,,DIRECT_PAY,28.35,,2002-11-23T16:00:00.000-08:00,108.0,Petroleum Ops Specialist,2018-05-25T18:00:00.000-07:00,14.72,699,695,19200.0,E,MORTGAGE,1036.0,41.0,132200254,2018-04-25T18:00:00.000-07:00,F,0,4,0,1370.77,23.87,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,35000.0,24137.0,148341673,142.0,185,22,11,5,1077.5,,49.0,,11.0,22,,8.0,,0,2,4,6,6,7,4,9,3,7,,0,0,1,7,0,2,1,2,0,0,95,50.0,0,0,debt_consolidation,APPROVED,2018-04-25T15:59:57.000-07:00,175917.0,,90.0,,,,,,,,,,,,,1.58,E2,0,36,0,307520,369000,21,54737,20480.0,44500,1,50000,196500
61,0,2,2018-04-20T15:08:08.000-07:00,MO,630xx,60.6,60892.5,88113.56,JOINT,21822,1276,89.4,0,0,2018-04-20T15:00:15.000-07:00,0,0.0,,CASH,30.06,27.21,2001-12-19T16:00:00.000-08:00,120.0,Assitant Manager,2018-05-25T18:00:00.000-07:00,5.71,724,720,13650.0,C,MORTGAGE,1054.0,42.1,132009016,2018-04-25T18:00:00.000-07:00,F,1,0,0,699.14,14.07,,SOURCE_VERIFIED,SOURCE_VERIFIED,2018-04-25T18:00:00.000-07:00,30000.0,10724.0,148129472,94.0,63,13,13,4,1022.85,,,,22.0,56,,13.0,,0,1,5,1,1,8,5,5,5,8,0.0,0,0,0,8,0,2,0,1,0,1,100,100.0,0,0,medical,APPROVED,2018-04-25T16:23:24.000-07:00,25153.0,54291.0,83.8,0.0,0.0,2007-05-19T17:00:00.000-07:00,684.0,680.0,0.0,3.0,,13.0,13.0,1.0,83.2,0.78,C3,0,60,0,174574,209631,17,41033,15880.0,12000,2,37697,30000
62,0,2,2018-04-24T12:21:34.000-07:00,OH,454xx,57.6,60000.0,,INDIVIDUAL,4588,10370,66.1,0,0,2018-04-24T12:19:28.000-07:00,0,0.0,,CASH,20.82,,1999-08-23T17:00:00.000-07:00,,,2018-05-25T18:00:00.000-07:00,3.8,709,705,3375.0,B,RENT,600.0,64.1,132197173,2018-04-25T18:00:00.000-07:00,F,0,0,0,644.6,9.92,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,20000.0,14288.0,148338647,175.0,224,7,7,0,0.0,65.0,65.0,,9.0,49,,,,1,4,6,4,7,6,8,15,6,10,0.0,0,0,2,10,0,2,1,1,1,1,95,50.0,0,0,debt_consolidation,APPROVED,2018-04-25T15:31:49.000-07:00,20619.0,,52.3,,,,,,,,,,,,,0.96,B2,0,36,0,41296,71656,22,41296,20677.0,30600,0,32256,39400
63,0,0,2018-04-23T20:08:51.000-07:00,NY,112xx,82.0,16000.0,61000.0,JOINT,2379,481,90.4,0,0,2018-04-15T18:16:27.000-07:00,0,0.0,,CASH,11.78,21.09,2012-06-15T17:00:00.000-07:00,72.0,Manager,2018-05-25T18:00:00.000-07:00,14.72,694,690,11375.0,E,RENT,100.0,,131620250,2018-04-25T18:00:00.000-07:00,F,0,0,0,1141.69,26.77,,VERIFIED,SOURCE_VERIFIED,2018-04-25T18:00:00.000-07:00,28050.0,4519.0,147583440,,70,41,41,0,0.0,,,,,70,,,,0,1,3,1,1,0,3,4,3,3,0.0,0,0,0,3,0,0,0,0,0,0,100,100.0,0,0,debt_consolidation,APPROVED,2018-04-25T14:46:13.000-07:00,7138.0,20674.0,82.0,0.0,0.0,1997-11-15T16:00:00.000-08:00,669.0,665.0,0.0,0.0,16.0,8.0,7.0,1.0,79.2,1.58,E5,0,36,0,7138,8700,4,7138,0.0,5000,0,0,8700
64,0,4,2018-04-20T16:12:25.000-07:00,CA,945xx,57.7,40000.0,,INDIVIDUAL,3262,4996,81.5,0,0,2018-04-20T15:55:44.000-07:00,0,0.0,,CASH,17.3,,2008-09-19T17:00:00.000-07:00,24.0,Accountant,2018-05-25T18:00:00.000-07:00,6.8,724,720,2550.0,C,RENT,850.0,34.9,132019179,2018-04-25T18:00:00.000-07:00,F,0,3,1,670.13,12.61,,SOURCE_VERIFIED,,2018-04-25T18:00:00.000-07:00,20000.0,11004.0,148116672,31.0,115,2,2,0,0.0,,,,20.0,2,,2.0,,0,2,4,2,6,3,5,16,4,9,0.0,0,0,1,9,1,3,0,2,1,1,100,50.0,0,0,credit_card,APPROVED,2018-04-25T16:32:08.000-07:00,22318.0,,74.9,,,,,,,,,,,,,1.13,C1,0,36,0,29360,50889,20,29360,6287.0,27000,0,18000,29800
65,0,6,2018-04-24T11:02:22.000-07:00,MI,483xx,30.1,40000.0,,INDIVIDUAL,1220,5205,57.3,0,0,2018-04-24T10:54:19.000-07:00,0,0.0,,CASH,27.93,,2006-12-23T16:00:00.000-08:00,,,2018-05-25T18:00:00.000-07:00,11.12,699,695,2275.0,D,MORTGAGE,650.0,39.8,132145308,2018-04-25T18:00:00.000-07:00,F,0,2,1,727.58,18.45,,NOT_VERIFIED,,2018-04-25T18:00:00.000-07:00,20000.0,3916.0,148295020,103.0,136,3,3,2,0.0,31.0,65.0,,3.0,3,,3.0,31.0,1,2,4,2,8,5,10,22,4,13,0.0,0,0,3,13,2,3,1,3,2,3,93,50.0,0,0,debt_consolidation,APPROVED,2018-04-25T14:45:39.000-07:00,7420.0,,23.6,,,,,,,,,,,,,1.36,D2,0,36,0,15855,52590,29,15855,8435.0,12200,0,21190,31400
